trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.9, 'e': 0.9175942312201509}",30,0,-2.7018669135890807,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.9, 'e': 0.9166770956331523}",30,0,-168.89110149250664,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
88,False,"{'a': 0.9, 'e': 0.9157608767233256}",20,0,-73.29617823323898,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
89,False,"{'a': 0.9, 'e': 0.914845573574452}",20,2,-53.64274208619296,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
90,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,0,-4.465249585939763,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.9, 'e': 0.9130177108992658}",20,0,-75.61604894881725,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
92,False,"{'a': 0.9, 'e': 0.9121051495450904}",35,22,-13.749515136904272,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.9111935002961405}",25,0,-69.1204286117736,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.9, 'e': 0.910282762240767}",25,0,-188.15127072405812,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
95,False,"{'a': 0.9, 'e': 0.9093729344682314}",20,0,-91.49843054058954,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.9, 'e': 0.9084640160687062}",25,0,-91.15688759058122,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
97,False,"{'a': 0.9, 'e': 0.9075560061332727}",25,0,-204.31608119620824,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
98,False,"{'a': 0.9, 'e': 0.9066489037539209}",30,0,-165.94143099966175,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
99,False,"{'a': 0.9, 'e': 0.9057427080235485}",25,12,-68.49703250585478,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
100,False,"{'a': 0.9, 'e': 0.9048374180359595}",20,0,-142.79287607956317,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
101,False,"{'a': 0.9, 'e': 0.9039330328858641}",25,0,-213.64658480671764,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
102,False,"{'a': 0.9, 'e': 0.9030295516688768}",20,10,-7.775060709798251,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.9, 'e': 0.9021269734815165}",30,0,-95.57063187807954,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
104,False,"{'a': 0.9, 'e': 0.9012252974212047}",30,0,-57.73691850574383,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
105,False,"{'a': 0.9, 'e': 0.9003245225862656}",30,0,-162.32532937899254,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
106,False,"{'a': 0.9, 'e': 0.899424648075924}",20,0,-49.63218101947922,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.8985256729903055}",20,0,-208.45911612442927,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 3}",0
108,False,"{'a': 0.9, 'e': 0.8976275964304349}",30,0,-107.2136433110495,"{0: 18, 1: 1, 2: 10, 3: 1, 4: 0}",0
109,False,"{'a': 0.9, 'e': 0.8967304174982355}",30,0,-52.05156791020261,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
110,False,"{'a': 0.9, 'e': 0.8958341352965282}",30,0,-253.50880816986083,"{0: 15, 1: 0, 2: 11, 3: 0, 4: 4}",0
111,False,"{'a': 0.9, 'e': 0.894938748929031}",20,0,-52.926367672490294,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
112,False,"{'a': 0.9, 'e': 0.8940442575003572}",20,0,-32.037071540413535,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.9, 'e': 0.8931506601160155}",20,0,-158.6241227803364,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
114,False,"{'a': 0.9, 'e': 0.8922579558824083}",20,0,-117.69113730211052,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.9, 'e': 0.8913661439068313}",20,0,-88.10447581684653,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
116,False,"{'a': 0.9, 'e': 0.8904752232974726}",20,0,-157.47827192745862,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
117,False,"{'a': 0.9, 'e': 0.8895851931634113}",20,0,-142.8936509471638,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
118,False,"{'a': 0.9, 'e': 0.8886960526146174}",25,0,-179.0151297207677,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",0
119,False,"{'a': 0.9, 'e': 0.8878078007619501}",20,0,-37.77148199450769,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
120,False,"{'a': 0.9, 'e': 0.8869204367171575}",25,0,-12.332747825041242,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
121,False,"{'a': 0.9, 'e': 0.8860339595928756}",25,0,-132.27544444090697,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
122,False,"{'a': 0.9, 'e': 0.8851483685026271}",20,0,-75.11703969366306,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.9, 'e': 0.8842636625608209}",20,9,-3.878993619793274,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.8833798408827509}",30,7,-51.50815785326106,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
125,False,"{'a': 0.9, 'e': 0.8824969025845955}",20,0,-126.01390972116334,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
126,False,"{'a': 0.9, 'e': 0.8816148467834161}",30,0,-142.56589071884827,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
127,False,"{'a': 0.9, 'e': 0.880733672597157}",20,0,-84.27224359463204,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
128,False,"{'a': 0.9, 'e': 0.8798533791446438}",25,0,-143.58762490568276,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
